x_value,total_1,total_2
0,1000,1000
1,1001,1003
2,1009,1009
3,1009,1015
4,1017,1020
5,1025,1025
6,1025,1027
7,1022,1031
8,1027,1034
9,1023,1040
10,1027,1042
11,1026,1042
12,1020,1039
13,1021,1036
14,1029,1037
15,1035,1036
16,1029,1041
17,1026,1046
18,1020,1044
19,1028,1040
20,1032,1038
21,1039,1035
22,1047,1038
23,1045,1042
24,1051,1040
25,1046,1041
26,1041,1037
27,1041,1035
28,1041,1036
29,1043,1040
30,1037,1045
31,1031,1047
32,1032,1053
33,1034,1052
34,1040,1058
35,1039,1053
36,1040,1048
37,1043,1049
38,1039,1044
39,1034,1050
40,1035,1053
41,1032,1053
42,1028,1056
